asset,theta,n_events,mean_T,mean_OSV,mean_TMV
S&P500,0.005,1478,3.4005412719891748,2.626485384373354,5.147671182900244
S&P500,0.0075,1150,4.370434782608696,2.1439039691053283,4.171770034332638
S&P500,0.01,968,5.1921487603305785,1.8795954090678206,3.55301469154732
S&P500,0.02,503,9.992047713717694,1.4669768999951949,2.766172835046545
S&P500,0.03,293,17.15358361774744,1.2925057387420362,2.506159948398054
NASDAQ,0.005,1626,3.091020910209102,3.25780741289714,6.467726239774132
NASDAQ,0.0075,1350,3.722962962962963,2.548900907107894,5.028562193643557
NASDAQ,0.01,1166,4.310463121783877,2.185156009586305,4.232203408095899
NASDAQ,0.02,683,7.358711566617862,1.5924539310589176,3.094925806730423
NASDAQ,0.03,439,11.44874715261959,1.3945513846949034,2.7612216705078625
WTIoil,0.005,3286,2.5310407790626903,4.303245484664684,8.589705593519046
WTIoil,0.0075,2936,2.832765667574932,3.188839758239549,6.312340527351607
WTIoil,0.01,2624,3.169588414634146,2.643174432691867,5.193008522320598
WTIoil,0.02,1675,4.965373134328358,1.8332029203620273,3.661530952085566
WTIoil,0.03,1184,7.024493243243243,1.5782117483504035,3.120378899271566
